,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
13374,Le concept de droit /,"Hart, H. L. A. 1907-1992 (Herbert Lionel Adolphus),",280280006X; 9782802800064,Facultés universitaires Saint-Louis,philosophie du droit,13374,Le concept de droit,philosophie droit,hart h l a - herbert lionel adolphus,Le concept de droit hart h l a - herbert lionel adolphus philosophie droit
13375,The sources of normativity /,"Korsgaard, Christine Marion",0521550599; 9780521550598; 052155960X; 9780521559607,Cambridge University Press,éthique--norme (philosophie)--[études diverses],13375,The sources of normativity,éthique--norme philosophie--études diverses,korsgaard christine marion,The sources of normativity korsgaard christine marion éthique--norme philosophie--études diverses
13376,Leçons sur Descartes : science et métaphysique chez Descartes /,"Alquié, Ferdinand",2710327597; 9782710327592,La Table ronde,"Descartes, René--[études diverses]",13376,Leçons sur Descartes : science et métaphysique chez Descartes,descartes rené--études diverses,alquié ferdinand,Leçons sur Descartes : science et métaphysique chez Descartes alquié ferdinand descartes rené--études diverses
13377,Le premier système : La philosophie de l'esprit (1803-1804) /,"Hegel, Georg Wilhelm Friedrich, 1770-1831",2130502253; 9782130502258,Presses universitaires de France,"Hegel, Georg Wilhelm Friedrich--* philosophie--1793 / 1803",13377,Le premier système : La philosophie de l'esprit (1803-1804),hegel georg wilhelm friedrich-- philosophie--,hegel georg wilhelm friedrich -,Le premier système : La philosophie de l'esprit (1803-1804) hegel georg wilhelm friedrich - hegel georg wilhelm friedrich-- philosophie--
13378,La démocratie et les médias au XXe siècle /,"Bertho, Catherine",9782200623654; 2200623658,A Colin,Maccarthysme; Médias et opinion publique--20e siècle; Politique des médias--20e siècle; Médias et guerre--20e siècle; Presse et politique--20e siècle; État et presse--20e siècle; Médias--Influence--20e siècle; Démocratie--20e siècle; Médias et politique,13378,La démocratie et les médias au XXe siècle,maccarthysme médias opinion publique--e siècle politique médias--e guerre--e presse politique--e état presse--e médias--influence--e démocratie--e,bertho catherine,La démocratie et les médias au XXe siècle bertho catherine maccarthysme médias opinion publique--e siècle politique médias--e guerre--e presse politique--e état presse--e médias--influence--e démocratie--e
13379,La musique des instruments /,"Roederer, Charlotte",2075164185; 9782075164184,Gallimard-Jeunesse Musique,Ouvrages pour la jeunesse; Instruments de musique.,13379,La musique des instruments,ouvrages jeunesse instruments musique,roederer charlotte,La musique des instruments roederer charlotte ouvrages jeunesse instruments musique
13380,Modèle de convention fiscale OCDE concernant le revenu et la fortune : commentaire /,,9783719028527; 3719028526; 9782851159083; 2851159089,Helbing Lichtenhahn,Organisation de coopération et de développement économiques; Double imposition; Impôt sur le revenu; Impôt sur la fortune; Droit fiscal (droit international); internationale Doppelbesteuerung; Steuer vom Einkommen; Steuer vom Vermögen; OECD-Musterabkommen; [Commentaires]; Textreproduktion; Kommentar(Werk),13380,Modèle de convention fiscale OCDE concernant le revenu et la fortune : commentaire,organisation coopération développement économiques double imposition impôt revenu fortune droit fiscal international internationale doppelbesteuerung steuer vom einkommen vermögen oecd-musterabkommen commentaires textreproduktion kommentarwerk,,Modèle de convention fiscale OCDE concernant le revenu et la fortune : commentaire  organisation coopération développement économiques double imposition impôt revenu fortune droit fiscal international internationale doppelbesteuerung steuer vom einkommen vermögen oecd-musterabkommen commentaires textreproduktion kommentarwerk
13381,Un monde en couleurs : guide pour l'enseignement : cycle 1 - 3e année /,"Dutoit, Yves",9782940645091; 2940645094,Association Editions Agora,Religion; Éducation religieuse--Enseignement primaire; Manuels d'enseignement,13381,Un monde en couleurs : guide pour l'enseignement : cycle 1 - 3e année,religion éducation religieuse--enseignement primaire manuels denseignement,dutoit yves,Un monde en couleurs : guide pour l'enseignement : cycle 1 - 3e année dutoit yves religion éducation religieuse--enseignement primaire manuels denseignement
13382,Pédagogies alternatives et démarches innovantes /,,9782091247854; 2091247855,Nathan; Leafr,Enseignement--Innovations; Pédagogie expérimentale; Classes (éducation)--Conduite; Pédagogie--Méthodologie,13382,Pédagogies alternatives et démarches innovantes,enseignement--innovations pédagogie expérimentale classes éducation--conduite pédagogie--méthodologie,,Pédagogies alternatives et démarches innovantes  enseignement--innovations pédagogie expérimentale classes éducation--conduite pédagogie--méthodologie
13383,Jeu de loup /,"Jalbert, Philippe",9782364740365; 2364740363,Ed Thierry Magnier,Goût; Ouvrages pour la jeunesse,13383,Jeu de loup,goût ouvrages jeunesse,jalbert philippe,Jeu de loup jalbert philippe goût ouvrages jeunesse
13384,La colonisation de l'imaginaire : sociétés indigènes et occidentalisation dans le Mexique espagnol : XVIe-XVIIIe siècle /,"Gruzinski, Serge",2070710904; 9782070710904,Gallimard,occidentalisation--* anthropologie historique--Mexique--16e s. / 18e s.,13384,La colonisation de l'imaginaire : sociétés indigènes et occidentalisation dans le Mexique espagnol : XVIe-XVIIIe siècle,occidentalisation-- anthropologie historique--mexique--e s e,gruzinski serge,La colonisation de l'imaginaire : sociétés indigènes et occidentalisation dans le Mexique espagnol : XVIe-XVIIIe siècle gruzinski serge occidentalisation-- anthropologie historique--mexique--e s e
13385,Le chamanisme /,"Perrin, Michel, 1941-",9782130792840; 2130792847,Presses universitaires de France,Chamanisme,13385,Le chamanisme,chamanisme,perrin michel -,Le chamanisme perrin michel - chamanisme
13386,Cent ans de politique agricole vaudoise /,"Janin, Jacques, directeur de la Chambre vaudoise d'agriculture, 1939-",288295896X; 9782882958969,Cabédita,Politique agricole--Vaud (Suisse)--20e siècle; Chambre vaudoise d'agriculture (Vaud)--Histoire,13386,Cent ans de politique agricole vaudoise,politique agricole--vaud suisse--e siècle chambre vaudoise dagriculture vaud--histoire,janin jacques directeur chambre vaudoise dagriculture -,Cent ans de politique agricole vaudoise janin jacques directeur chambre vaudoise dagriculture - politique agricole--vaud suisse--e siècle chambre vaudoise dagriculture vaud--histoire
13387,Formation professionnelle en Suisse : histoire et actualité /,"Tabin, Jean-Pierre",2881460380; 9782881460388,Réalités sociales,formation professionnelle--Suisse; Vocational Education; Vocational Education--legislation & jurisprudence; Vocational Education--history; Switzerland,13387,Formation professionnelle en Suisse : histoire et actualité,formation professionnelle--suisse vocational education education--legislation jurisprudence education--history switzerland,tabin jean-pierre,Formation professionnelle en Suisse : histoire et actualité tabin jean-pierre formation professionnelle--suisse vocational education education--legislation jurisprudence education--history switzerland
13388,Jujutsu Kaisen /,"Akutami, Gege",9791032706688; 9791032705544; 9791032705537; 9791032707029; 9791032706077; 9791032706343; 9791032706565; 9791032706671; 9791032707517; 9791032707630; 9791032707821; 9791032707852; 9791032707883; 9791032707906; 9791032710944; 9791032711194; 9791032711408; ,Ki-oon,Possession diabolique; Mangas; Bandes dessinées,13388,Jujutsu Kaisen,possession diabolique mangas bandes dessinées,akutami gege,Jujutsu Kaisen akutami gege possession diabolique mangas bandes dessinées
13389,La femme et les médecins : analyse historique /,"Knibiehler, Yvonne",2010082990; 9782010082993,Hachette littérature générale,femme--histoire des mentalités (discipline)--médecine; femme--médecine--Antiquité / 20e s.,13389,La femme et les médecins : analyse historique,femme--histoire mentalités discipline--médecine femme--médecine--antiquité e s,knibiehler yvonne,La femme et les médecins : analyse historique knibiehler yvonne femme--histoire mentalités discipline--médecine femme--médecine--antiquité e s
13390,Les rôles en équipe /,"Belbin, R. Meredith",2708134744; 9782708134744,Ed d'Organisation,entreprise--travail en équipe - organisation (structure),13390,Les rôles en équipe,entreprise--travail équipe - organisation structure,belbin r meredith,Les rôles en équipe belbin r meredith entreprise--travail équipe - organisation structure
13391,La défense du paradis fiscal suisse avant la Seconde Guerre mondiale : une histoire internationale : analyse de la politique helvétique dans les négociations sur la double imposition et l'évasion fiscale durant l'entre-deux-guerres /,"Farquet, Christophe, 1984-",9782889301126; 2889301125,Ed Alphil,Paradis fiscaux--Suisse--1900-1945; Politique fiscale--Suisse--1900-1945; Double imposition--Suisse--1900-1945; Banques--Secret professionnel--Suisse--1900-1945; Mouvements de capitaux--Suisse--1900-1945; Évasion fiscale--Suisse--1900-1945; Taxes internationales--Suisse--1900-1945; Droit fiscal (droit international)--1900-1945; Thèses et écrits académiques,13391,La défense du paradis fiscal suisse avant la Seconde Guerre mondiale : une histoire internationale : analyse de la politique helvétique dans les négociations sur la double imposition et l'évasion fiscale durant l'entre-deux-guerres,paradis fiscaux--suisse--- politique fiscale--suisse--- double imposition--suisse--- banques--secret professionnel--suisse--- mouvements capitaux--suisse--- évasion taxes internationales--suisse--- droit fiscal international--- thèses écrits académiques,farquet christophe -,La défense du paradis fiscal suisse avant la Seconde Guerre mondiale : une histoire internationale : analyse de la politique helvétique dans les négociations sur la double imposition et l'évasion fiscale durant l'entre-deux-guerres farquet christophe - paradis fiscaux--suisse--- politique fiscale--suisse--- double imposition--suisse--- banques--secret professionnel--suisse--- mouvements capitaux--suisse--- évasion taxes internationales--suisse--- droit fiscal international--- thèses écrits académiques
13392,"Business helvétique et troisième Reich : milieux d'affaires, politique étrangère, antisémitisme /","Bourgeois, Daniel, politologue",2940189102; 9782940189106,Le Courrier; Ed Page deux,économie--Allemagne--Suisse--1933 / 1945; politique étrangère--Suisse--1933 / 1945; antisémitisme--Suisse--1933 / 1945,13392,"Business helvétique et troisième Reich : milieux d'affaires, politique étrangère, antisémitisme",économie--allemagne--suisse-- politique étrangère--suisse-- antisémitisme--suisse--,bourgeois daniel politologue,"Business helvétique et troisième Reich : milieux d'affaires, politique étrangère, antisémitisme bourgeois daniel politologue économie--allemagne--suisse-- politique étrangère--suisse-- antisémitisme--suisse--"
13393,Handbuch der Schweizerischen Volkswirtschaft /,,,Verlag Benteli,économie--Suisse; Nationalökonomie; Schweiz,13393,Handbuch der Schweizerischen Volkswirtschaft,économie--suisse nationalökonomie schweiz,,Handbuch der Schweizerischen Volkswirtschaft  économie--suisse nationalökonomie schweiz
13394,Handbuch der Schweizerischen Volkswirtschaft /,,,Benteli-Verlag,Économie politique--Suisse; économie--Suisse--[manuel]; Nationalökonomie; Wirtschaft; Soziologie; Politik; Schweiz; Guides pratiques,13394,Handbuch der Schweizerischen Volkswirtschaft,économie politique--suisse économie--suisse--manuel nationalökonomie wirtschaft soziologie politik schweiz guides pratiques,,Handbuch der Schweizerischen Volkswirtschaft  économie politique--suisse économie--suisse--manuel nationalökonomie wirtschaft soziologie politik schweiz guides pratiques
13395,L'explosion de la communication : introduction aux théories et aux pratiques de la communication /,"Breton, Philippe",9782707173829; 2707173827,La Découverte,"communication--communication de masse--Antiquité / 21e s. (début); communication de masse--technologie de l'information--Antiquité / 21e s. (début); communication; communication--* sociologie; communication de masse; théorie de la communication; sciences de l'information; Communication; Médias; Information, Théorie de l'; Sciences de l'information; Chronologie historique",13395,L'explosion de la communication : introduction aux théories et aux pratiques de la communication,communication--communication masse--antiquité e s début communication masse--technologie linformation--antiquité communication-- sociologie masse théorie sciences linformation médias information chronologie historique,breton philippe,L'explosion de la communication : introduction aux théories et aux pratiques de la communication breton philippe communication--communication masse--antiquité e s début communication masse--technologie linformation--antiquité communication-- sociologie masse théorie sciences linformation médias information chronologie historique
13396,Chevaleresses : une chevalerie au féminin /,"Cassagnes-Brouquet, Sophie, 1957-",9782262036416; 2262036411,Perrin,Chevalerie; Guerrières; Femmes; Ordres militaires religieux; Guerre; Rôle selon le sexe; Moyen âge,13396,Chevaleresses : une chevalerie au féminin,chevalerie guerrières femmes ordres militaires religieux guerre rôle sexe moyen âge,cassagnes-brouquet sophie -,Chevaleresses : une chevalerie au féminin cassagnes-brouquet sophie - chevalerie guerrières femmes ordres militaires religieux guerre rôle sexe moyen âge
13397,"Cultus et decor : liturgia e architettura nella Roma tardoantica e medievale : Basilica Salvatoris, Sanctae Mariae, Sancti Pietri /","Blaauw, Sible de, 1951-",8821006565; 9788821006562; 8821006581; 9788821006586,Biblioteca apostolica vaticana,"architecture religieuse--liturgie catholique--Rome (Italie, ville)--4e s. / 14e s.",13397,"Cultus et decor : liturgia e architettura nella Roma tardoantica e medievale : Basilica Salvatoris, Sanctae Mariae, Sancti Pietri",architecture religieuse--liturgie catholique--rome italie ville--e s e,blaauw sible -,"Cultus et decor : liturgia e architettura nella Roma tardoantica e medievale : Basilica Salvatoris, Sanctae Mariae, Sancti Pietri blaauw sible - architecture religieuse--liturgie catholique--rome italie ville--e s e"
13398,Arguiñe Escandón & Yann Gross : Aya /,"Gross, Yann, 1981-",9788417975043; 8417975047,Editorial RM,Jungle; Photographie documentaire; Portraits; Plantes; Amazonie--Pérou,13398,Arguiñe Escandón & Yann Gross : Aya,jungle photographie documentaire portraits plantes amazonie--pérou,gross yann -,Arguiñe Escandón & Yann Gross : Aya gross yann - jungle photographie documentaire portraits plantes amazonie--pérou
13399,La gestion de classe : une compétence à développer /,"Nault, Thérèse",9782761726177; 2761726170,Les Ed CEC,classe (enseignement) - gestion,13399,La gestion de classe : une compétence à développer,classe enseignement - gestion,nault thérèse,La gestion de classe : une compétence à développer nault thérèse classe enseignement - gestion
13400,Vers une gestion éducative de la classe /,"Archambault, Jean, Pédagogue",9782896321131; 2896321136,G Morin,Classes (éducation)--Conduite; Psychologie de l'apprentissage; Motivation en éducation,13400,Vers une gestion éducative de la classe,classes éducation--conduite psychologie lapprentissage motivation éducation,archambault jean pédagogue,Vers une gestion éducative de la classe archambault jean pédagogue classes éducation--conduite psychologie lapprentissage motivation éducation
13401,Undoctored : the story of a medic who ran out of patients /,"Kay, Adam",9781398700383; 139870038X; 9781398700376; 1398700371,Trapeze,"Kay, Adam,--1980-; Great Britain.--National Health Service; Great Britain.--National Health Service--Anecdotes.; Physician and patient; Physicians; Physicians--Retirement; Physicians--Great Britain--Biography.; Physician and patient--Great Britain--Anecdotes.; Physicians--Retirement.; Great Britain; Anecdotes; Biographies",13401,Undoctored : the story of a medic who ran out of patients,kay adam --- great britain--national health service service--anecdotes physician and patient physicians physicians--retirement physicians--great britain--biography patient--great britain--anecdotes britain anecdotes biographies,kay adam,Undoctored : the story of a medic who ran out of patients kay adam kay adam --- great britain--national health service service--anecdotes physician and patient physicians physicians--retirement physicians--great britain--biography patient--great britain--anecdotes britain anecdotes biographies
13402,Cultiver la relation enfant-nature : de l'éloignement à l'alliance /,"Nesme, Anne-Louise",9782367176987; 2367176981,Chronique sociale,Environnement et enfants; Éducation au développement durable; Éducation des enfants; Écologie humaine,13402,Cultiver la relation enfant-nature : de l'éloignement à l'alliance,environnement enfants éducation développement durable écologie humaine,nesme anne-louise,Cultiver la relation enfant-nature : de l'éloignement à l'alliance nesme anne-louise environnement enfants éducation développement durable écologie humaine
13403,Offrandes monumentales à Delphes /,"Jacquemin, Anne",286958170X; 9782869581708,Ecole française de Rome,offrande--sanctuaire grec antique--Delphes (Grèce),13403,Offrandes monumentales à Delphes,offrande--sanctuaire grec antique--delphes grèce,jacquemin anne,Offrandes monumentales à Delphes jacquemin anne offrande--sanctuaire grec antique--delphes grèce
13404,"L'ombre du Diable : Michée Chauderon, dernière sorcière exécutée à Genève (1652) /","Porret, Michel, 1955-",9782825709757; 2825709751,Georg,"Chauderon, Michée; procès pénal--sorcière--Genève (Suisse, ville)--17e s. (milieu); Sorcellerie; 17e siècle; Procès; Genève (Suisse, ville)",13404,"L'ombre du Diable : Michée Chauderon, dernière sorcière exécutée à Genève (1652)",chauderon michée procès pénal--sorcière--genève suisse ville--e s milieu sorcellerie e siècle genève ville,porret michel -,"L'ombre du Diable : Michée Chauderon, dernière sorcière exécutée à Genève (1652) porret michel - chauderon michée procès pénal--sorcière--genève suisse ville--e s milieu sorcellerie e siècle genève ville"
13405,Hadrien : l'empereur virtuose /,"Roman, Yves",9782228903370; 222890337X,Payot,Hadrien--(empereur romain),13405,Hadrien : l'empereur virtuose,hadrien--empereur romain,roman yves,Hadrien : l'empereur virtuose roman yves hadrien--empereur romain
13406,Des femmes d'exception au Moyen Age /,"Cassagnes-Brouquet, Sophie, 1957-",2737383536; 9782737383533,Éditions Ouest-France,"Frédégonde--(reine de Neustrie ;--0545-0597); Brunehaut--(reine d'Austrasie ;--0547-0613); Thorbjarnardottir, Gudrid--(99X?-108X?); Hildegarde--(sainte ;--1098-1179); Héloïse--(1101-1164); Aliénor d'Aquitaine--(reine de France ;--1122-1204); Marguerite de Beverley--(115X?-1215?); Blanche de Castille--(reine de France ;--1188-1252); Brigitte de Suède--(sainte ;--1303?-1373); Catherine de Sienne--(sainte ;--1347-1380); Christine de Pisan--(1363?-1431?); Jeanne d'Arc--(sainte ;--1412-1431); Femmes--Activité politique; Célébrités--Femmes; Biographie",13406,Des femmes d'exception au Moyen Age,frédégonde--reine neustrie --- brunehaut--reine daustrasie thorbjarnardottir gudrid--x-x hildegarde--sainte héloïse--- aliénor daquitaine--reine france marguerite beverley--x- blanche castille--reine brigitte suède--sainte catherine sienne--sainte christine pisan--- jeanne darc--sainte femmes--activité politique célébrités--femmes biographie,cassagnes-brouquet sophie -,Des femmes d'exception au Moyen Age cassagnes-brouquet sophie - frédégonde--reine neustrie --- brunehaut--reine daustrasie thorbjarnardottir gudrid--x-x hildegarde--sainte héloïse--- aliénor daquitaine--reine france marguerite beverley--x- blanche castille--reine brigitte suède--sainte catherine sienne--sainte christine pisan--- jeanne darc--sainte femmes--activité politique célébrités--femmes biographie
13407,"Sophie Taeuber : rythmes plastiques, réalités architecturales /",,9782952918701; 2952918708,Fondation Arp,"Taeuber-Arp, Sophie--[catalogue d'exposition]",13407,"Sophie Taeuber : rythmes plastiques, réalités architecturales",taeuber-arp sophie--catalogue dexposition,,"Sophie Taeuber : rythmes plastiques, réalités architecturales  taeuber-arp sophie--catalogue dexposition"
13408,Bauhaus : 1919-1933 /,,3836565536; 9783836565530,Taschen,Bauhaus; Art--Allemagne--1900-1945,13408,Bauhaus : 1919-1933,bauhaus art--allemagne---,,Bauhaus : 1919-1933  bauhaus art--allemagne---
13409,Model of human occupation : theory and application /,"Kielhofner, Gary",9780781769969; 0781769965,Williams & Wilkins,Ergothérapie,13409,Model of human occupation : theory and application,ergothérapie,kielhofner gary,Model of human occupation : theory and application kielhofner gary ergothérapie
13410,[NEPSY II] [Bilan neuropsychlogique de l'enfant ; seconde édition],,,,Ergothérapie,13410,[NEPSY II] [Bilan neuropsychlogique de l'enfant ; seconde éditio,ergothérapie,,[NEPSY II] [Bilan neuropsychlogique de l'enfant ; seconde éditio  ergothérapie
13411,Les enfants d'Aliel /,"Schneider, Sara",9782970126607; 2970126605; 9782970126645; 2970126648; 9782970126669; 2970126664; 9782970126683; 2970126680; 9782970159308; 2970159309,Le Chien qui pense,,13411,Les enfants d'Aliel,,schneider sara,Les enfants d'Aliel schneider sara 
13412,La fête des ombres /,,9791095397120; 9791095397137,Editions Issekinicho,Bandes dessinées,13412,La fête des ombres,bandes dessinées,,La fête des ombres  bandes dessinées
13413,Tout va bien /,"Genmor, Charlie",9782756085135; 2756085138,Delcourt,Interpersonal Relations; Depression; Personal Narrative; Graphic Novel; Bandes dessinées,13413,Tout va bien,interpersonal relations depression personal narrative graphic novel bandes dessinées,genmor charlie,Tout va bien genmor charlie interpersonal relations depression personal narrative graphic novel bandes dessinées
13414,Blue exorcist /,"Katō, Kazue",9782849658307; 2849658308; 9782849659267; 2849659266; 9782849659816; 2849659819; 9782820300263; 282030026X; 9782820301222; 2820301223; 9782820302045; 2820302041; 9782820302823; 2820302823; 9782820303356; 2820303358; 9782820305367; 2820305369; 978282030648,Kazé,Bandes dessinées; Mangas,13414,Blue exorcist,bandes dessinées mangas,katō kazue,Blue exorcist katō kazue bandes dessinées mangas
13415,Post-scriptum : Aux sources d'une écriture /,"Jouanneau, Joël",9782330009007; 2330009003,Actes Sud-Papiers,,13415,Post-scriptum : Aux sources d'une écriture,,jouanneau joël,Post-scriptum : Aux sources d'une écriture jouanneau joël 
13416,"Amour et merveille : les ""Lais"" de Marie de France /",,2852037181; 9782852037182,Diff Slatkine; H Champion,"Marie--(de France).--""Lais""--[études diverses]",13416,"Amour et merveille : les ""Lais"" de Marie de France",marie--de france--lais--études diverses,,"Amour et merveille : les ""Lais"" de Marie de France  marie--de france--lais--études diverses"
13417,La sexualité en France à l'époque moderne /,"Beauvalet, Scarlett",9782200354886; 2200354886,A Colin,sexualité--France--16e s. / 18e s.,13417,La sexualité en France à l'époque moderne,sexualité--france--e s e,beauvalet scarlett,La sexualité en France à l'époque moderne beauvalet scarlett sexualité--france--e s e
13418,Le sexe sous l'Empire : 1799-1815 /,"Boudon, Jacques-Olivier",9782311102543; 2311102540,La Libr Vuibert,Vie sexuelle--France--1789-1799 (Révolution); Vie sexuelle--France--1799-1804 (Consulat); Vie sexuelle--France--1804-1814 (Empire),13418,Le sexe sous l'Empire : 1799-1815,vie sexuelle--france--- révolution consulat empire,boudon jacques-olivier,Le sexe sous l'Empire : 1799-1815 boudon jacques-olivier vie sexuelle--france--- révolution consulat empire
13419,La question nationale au XIXe siècle /,"Cabanel, Patrick",9782707188502; 2707188506,La Découverte,"Nation; Nationalisme; Nationalités, Principe des; Culture politique; 19e siècle; Europe",13419,La question nationale au XIXe siècle,nation nationalisme nationalités principe culture politique e siècle europe,cabanel patrick,La question nationale au XIXe siècle cabanel patrick nation nationalisme nationalités principe culture politique e siècle europe
13420,"La guerre de Corée, 1950-1953 : guerre froide en Asie orientale /","Souty, Patrick",2729706968; 9782729706968,Presses universitaires de Lyon,Guerre de Corée (1950-1953); guerre de Corée,13420,"La guerre de Corée, 1950-1953 : guerre froide en Asie orientale",guerre corée -,souty patrick,"La guerre de Corée, 1950-1953 : guerre froide en Asie orientale souty patrick guerre corée -"
13421,Les pathologies en un coup d'oeil pour les infirmiers /,"Cornec, Stéphane",9782294771873; 2294771877,Elsevier Masson,Infirmières--Travail; Pathologie--Soins infirmiers,13421,Les pathologies en un coup d'oeil pour les infirmiers,infirmières--travail pathologie--soins infirmiers,cornec stéphane,Les pathologies en un coup d'oeil pour les infirmiers cornec stéphane infirmières--travail pathologie--soins infirmiers
13422,The labor progress handbook : early interventions to prevent and treat dystocia /,"Simkin, Penny",9781119170464; 111917046X,Wiley-Blackwell,"Accouchement; Dystocia--prevention & control; Birth Injuries--prevention & control; Labor, Obstetric; Accouchement--Complications (médecine); [Manuels d'enseignement]; Handbook",13422,The labor progress handbook : early interventions to prevent and treat dystocia,accouchement dystocia--prevention control birth injuries--prevention labor obstetric accouchement--complications médecine manuels denseignement handbook,simkin penny,The labor progress handbook : early interventions to prevent and treat dystocia simkin penny accouchement dystocia--prevention control birth injuries--prevention labor obstetric accouchement--complications médecine manuels denseignement handbook
13423,Réussir la démarche de soins : [méthodologie et applications] /,"Le Neurès, Katy",9782294704260; 2294704266,Masson,,13423,Réussir la démarche de soins : [méthodologie et applications],,neurès katy,Réussir la démarche de soins : [méthodologie et applications] neurès katy 
13424,Le temps de la guerre froide : du rideau de fer à l'effondrement du communisme /,,202022853X; 9782020228534,Ed du Seuil,Espionnage; Services de renseignements; Crise de Cuba (1962); Maccarthysme; guerre froide--[études diverses],13424,Le temps de la guerre froide : du rideau de fer à l'effondrement du communisme,espionnage services renseignements crise cuba maccarthysme guerre froide--études diverses,,Le temps de la guerre froide : du rideau de fer à l'effondrement du communisme  espionnage services renseignements crise cuba maccarthysme guerre froide--études diverses
13425,La recherche qualitative : enjeux épistémologiques et méthodologiques /,,2891056612; 9782891056618,G Morin,méthode qualitative--recherche sociale--* épistémologie; recherche qualitative--sciences sociales--* méthodologie; Recherche qualitative; Sciences sociales; Épistémologie des sciences sociales; Méthodologie,13425,La recherche qualitative : enjeux épistémologiques et méthodologiques,méthode qualitative--recherche sociale-- épistémologie recherche qualitative--sciences sociales-- méthodologie qualitative sciences sociales,,La recherche qualitative : enjeux épistémologiques et méthodologiques  méthode qualitative--recherche sociale-- épistémologie recherche qualitative--sciences sociales-- méthodologie qualitative sciences sociales
13426,"Les sociétés de capitaux et leurs actionnaires en droit fiscal suisse : apports et investissements, assainissement, distributions de bénéfices, liquidation et vente, restructurations et mutations /","Chubatyuk, Andriy",9783725588343; 3725588341,Schulthess Editions romandes,direkte Bundessteuer; Bundesrecht; Kantons- und Gemeindesteuer; kantonales Recht; Steuerharmonisierung; Steuer vom Unternehmungsgewinn; Steuer vom Kapital; Steuer vom Einkommen; Steuer vom Vermögen; Verrechnungssteuer; Stempelabgabe; Ausgabe(Wertpapier); Effektenhandel; Privatvermögen und Geschäftsvermögen(Steuerrecht); Kapitaleinlage und Kapitalentnahme(Steuerrecht); Verlustverrechnung; Sanierung der Unternehmung(Steuerrecht); Geldwerte Leistung; Umwandlung der Unternehmung(Steuerrecht); Verwaltungs- und Verwaltungsgerichtsverfahren; Steuerverfahren; Manuels d'enseignement supérieur; Sociétés de capitaux; Sociétés anonymes; Actionnaires; Impôt sur le capital; Impôts; Réorganisation industrielle; Transfert (droit); Procédure administrative; Kapitalgesellschaft; Aktiengesellschaft; Aktionär; Steuerrecht; Genf(Kanton); Schweiz; Grundlagenwerk,13426,"Les sociétés de capitaux et leurs actionnaires en droit fiscal suisse : apports et investissements, assainissement, distributions de bénéfices, liquidation et vente, restructurations et mutations",direkte bundessteuer bundesrecht kantons- und gemeindesteuer kantonales recht steuerharmonisierung steuer vom unternehmungsgewinn kapital einkommen vermögen verrechnungssteuer stempelabgabe ausgabewertpapier effektenhandel privatvermögen geschäftsvermögensteuerrecht kapitaleinlage kapitalentnahmesteuerrecht verlustverrechnung sanierung der unternehmungsteuerrecht geldwerte leistung umwandlung verwaltungs- verwaltungsgerichtsverfahren steuerverfahren manuels denseignement supérieur sociétés capitaux anonymes actionnaires impôt capital impôts réorganisation industrielle transfert droit procédure administrative kapitalgesellschaft aktiengesellschaft aktionär steuerrecht genfkanton schweiz grundlagenwerk,chubatyuk andriy,"Les sociétés de capitaux et leurs actionnaires en droit fiscal suisse : apports et investissements, assainissement, distributions de bénéfices, liquidation et vente, restructurations et mutations chubatyuk andriy direkte bundessteuer bundesrecht kantons- und gemeindesteuer kantonales recht steuerharmonisierung steuer vom unternehmungsgewinn kapital einkommen vermögen verrechnungssteuer stempelabgabe ausgabewertpapier effektenhandel privatvermögen geschäftsvermögensteuerrecht kapitaleinlage kapitalentnahmesteuerrecht verlustverrechnung sanierung der unternehmungsteuerrecht geldwerte leistung umwandlung verwaltungs- verwaltungsgerichtsverfahren steuerverfahren manuels denseignement supérieur sociétés capitaux anonymes actionnaires impôt capital impôts réorganisation industrielle transfert droit procédure administrative kapitalgesellschaft aktiengesellschaft aktionär steuerrecht genfkanton schweiz grundlagenwerk"
13427,L'île aux mots : français : 6e 2e cycle /,,9782091224183; 2091224189; 9782091224206; 2091224200; 9782091224190; 2091224197,Nathan,enseignement primaire--français (langue)--[manuel],13427,L'île aux mots : français : 6e 2e cycle,enseignement primaire--français langue--manuel,,L'île aux mots : français : 6e 2e cycle  enseignement primaire--français langue--manuel
13428,Les travailleurs sociaux /,"Ravon, Bertrand",9782707174475; 2707174475,La Découverte,Travailleurs sociaux; Aide sociale--Orientation professionnelle--France; Travailleurs sociaux--France,13428,Les travailleurs sociaux,travailleurs sociaux aide sociale--orientation professionnelle--france sociaux--france,ravon bertrand,Les travailleurs sociaux ravon bertrand travailleurs sociaux aide sociale--orientation professionnelle--france sociaux--france
13429,Créativités artificielles : la littérature et l'art à l'heure de l'intelligence artificielle /,,9782378962623; 2378962622,Presses du réel,Intelligence artificielle--Arts; Arts--Effets des innovations technologiques; Création littéraire--Effets des innovations technologiques; Littérature et informatique,13429,Créativités artificielles : la littérature et l'art à l'heure de l'intelligence artificielle,intelligence artificielle--arts arts--effets innovations technologiques création littéraire--effets littérature informatique,,Créativités artificielles : la littérature et l'art à l'heure de l'intelligence artificielle  intelligence artificielle--arts arts--effets innovations technologiques création littéraire--effets littérature informatique
